1	-1000	-400	1500	150	500	700	0	0	90
2	-1000	-400	1500	150	500	700	0	0	90
3	-500	-400	1900	150	500	700	0	0	90
4	-500	-400	1900	150	500	700	0	0	90
5	0	-400	2300	150	500	700	0	0	90
6	0	-400	2300	150	500	700	0	0	90
7	500	-400	2700	150	500	700	0	0	90
8	500	-400	2700	150	500	700	0	0	90
9	1000	-400	3100	150	500	700	0	0	90
10	1000	-400	3100	150	500	700	0	0	90
11	-1000	-225	1500	150	500	700	0	0	90
12	-1000	-225	1500	150	500	700	0	0	90
13	-500	-225	1900	150	500	700	0	0	90
14	-500	-225	1900	150	500	700	0	0	90
15	0	-225	2300	150	500	700	0	0	90
16	0	-225	2300	150	500	700	0	0	90
17	500	-225	2700	150	500	700	0	0	90
18	500	-225	2700	150	500	700	0	0	90
19	1000	-225	3100	150	500	700	0	0	90
20	1000	-225	3100	150	500	700	0	0	90
21	-1000	-75	1500	150	500	700	0	0	90
22	-1000	-75	1500	150	500	700	0	0	90
23	-500	-75	1900	150	500	700	0	0	90
24	-500	-75	1900	150	500	700	0	0	90
25	0	-75	2300	150	500	700	0	0	90
26	0	-75	2300	150	500	700	0	0	90
27	500	-75	2700	150	500	700	0	0	90
28	500	-75	2700	150	500	700	0	0	90
29	1000	-75	3100	150	500	700	0	0	90
30	1000	-75	3100	150	500	700	0	0	90
31	-1000	75	1500	150	500	700	0	0	90
32	-1000	75	1500	150	500	700	0	0	90
33	-500	75	1900	150	500	700	0	0	90
34	-500	75	1900	150	500	700	0	0	90
35	0	75	2300	150	500	700	0	0	90
36	0	75	2300	150	500	700	0	0	90
37	500	75	2700	150	500	700	0	0	90
38	500	75	2700	150	500	700	0	0	90
39	1000	75	3100	150	500	700	0	0	90
40	1000	75	3100	150	500	700	0	0	90
41	-1000	225	1200	150	500	700	0	0	90
42	-1000	225	1200	150	500	700	0	0	90
43	-500	225	1600	150	500	700	0	0	90
44	-500	225	1600	150	500	700	0	0	90
45	0	225	2000	150	500	700	0	0	90
46	0	225	2000	150	500	700	0	0	90
47	500	225	2400	150	500	700	0	0	90
48	500	225	2400	150	500	700	0	0	90
49	1000	225	2800	150	500	700	0	0	90
50	1000	225	2800	150	500	700	0	0	90
